"1980M01";33.0
"1980M02";33.3
"1980M03";33.8
"1980M04";34.0
"1980M05";34.5
"1980M06";34.6
"1980M07";35.2
"1980M08";35.3
"1980M09";35.5
"1980M10";35.8
"1980M11";36.1
"1980M12";36.2
"1981M01";36.5
"1981M02";36.8
"1981M03";37.6
"1981M04";38.0
"1981M05";38.6
"1981M06";39.0
"1981M07";39.3
"1981M08";39.4
"1981M09";39.8
"1981M10";40.0
"1981M11";40.5
"1981M12";40.7
"1982M01";41.0
"1982M02";41.2
"1982M03";41.6
"1982M04";41.8
"1982M05";42.3
"1982M06";42.6
"1982M07";43.0
"1982M08";43.2
"1982M09";43.7
"1982M10";44.2
"1982M11";44.6
"1982M12";44.3
"1983M01";44.7
"1983M02";44.8
"1983M03";44.7
"1983M04";45.0
"1983M05";45.5
"1983M06";45.6
"1983M07";45.6
"1983M08";45.8
"1983M09";46.3
"1983M10";46.6
"1983M11";47.0
"1983M12";47.0
"1984M01";47.2
"1984M02";47.7
"1984M03";47.8
"1984M04";48.0
"1984M05";48.5
"1984M06";48.7
"1984M07";48.6
"1984M08";48.8
"1984M09";49.2
"1984M10";49.4
"1984M11";49.8
"1984M12";49.7
"1985M01";49.9
"1985M02";50.2
"1985M03";50.6
"1985M04";50.8
"1985M05";51.1
"1985M06";51.1
"1985M07";50.9
"1985M08";50.8
"1985M09";51.1
"1985M10";51.3
"1985M11";51.4
"1985M12";51.4
"1986M01";51.3
"1986M02";51.3
"1986M03";51.5
"1986M04";52.8
"1986M05";53.2
"1986M06";53.1
"1986M07";52.8
"1986M08";53.0
"1986M09";53.4
"1986M10";53.5
"1986M11";53.7
"1986M12";53.7
"1987M01";53.8
"1987M02";53.7
"1987M03";54.2
"1987M04";54.4
"1987M05";54.9
"1987M06";54.9
"1987M07";54.9
"1987M08";55.1
"1987M09";55.4
"1987M10";55.6
"1987M11";55.8
"1987M12";55.8
"1988M01";56.1
"1988M02";56.5
"1988M03";56.7
"1988M04";56.9
"1988M05";57.4
"1988M06";57.4
"1988M07";57.1
"1988M08";57.5
"1988M09";57.9
"1988M10";58.0
"1988M11";58.4
"1988M12";58.4
"1989M01";58.6
"1989M02";59.0
"1989M03";59.4
"1989M04";59.8
"1989M05";60.2
"1989M06";60.0
"1989M07";60.0
"1989M08";60.3
"1989M09";60.6
"1989M10";60.9
"1989M11";61.2
"1989M12";61.2
"1990M01";60.8
"1990M02";61.0
